mileage,date,color,insurance,price,link,price_toman
۹۷۰۰۰,۱۳۸۹ - ۲۰۱۰,سفید,8,1150000000,https://divar.ir/v/%D8%B1%DB%8C%D9%88-%D9%85%D9%88%D9%86%D8%AA%D8%A7%DA%98-%DA%A9%D9%85-%DA%A9%D8%A7%D8%B1-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C/ga6RCd1z?tracker_session_id=64c2de26-ef81-47b9-8b67-eb834830247a_ga6RCd1z_N,"1,150,000,000.0 تومان"
۴۰۰۰۰۰,۱۳۸۶ - ۲۰۰۷,نوک‌مدادی,7,730000000,https://divar.ir/v/%D8%B1%DB%8C%D9%88-%DA%A9%D8%A7%D9%85%D9%84%D8%A7-%D8%B3%D8%A7%D9%84%D9%85/gaaFXYzB?tracker_session_id=64c2de26-ef81-47b9-8b67-eb834830247a_gaaFXYzB_N,"730,000,000.0 تومان"
۳۵۵۰۰۰,۲۰۱۱,سفید,5,860000000,https://divar.ir/v/%D8%B1%DB%8C%D9%88-%D9%85%D8%AF%D9%84-%DB%B9%DB%B0/ga6BCH3o?tracker_session_id=64c2de26-ef81-47b9-8b67-eb834830247a_ga6BCH3o_N,"860,000,000.0 تومان"
۲۹۰۰۰۰,۱۳۸۶ - ۲۰۰۷,نوک‌مدادی,12,840000000,https://divar.ir/v/%D8%B1%DB%8C%D9%88-%D8%AF%D8%B1%D8%AC%D9%87-%DB%8C%DA%A9/gaWNL4dM?tracker_session_id=64c2de26-ef81-47b9-8b67-eb834830247a_gaWNL4dM_N,"840,000,000.0 تومان"
۳۰۰۰۰۰,۱۳۸۹ - ۲۰۱۰,دلفینی,,640000000,https://divar.ir/v/%D8%B1%DB%8C%D9%88-89-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C/ga61ByMV?tracker_session_id=64c2de26-ef81-47b9-8b67-eb834830247a_ga61ByMV_N,
۲۵۰۰۰۰,۱۳۸۶ - ۲۰۰۷,نقره‌ای,4,790000000,https://divar.ir/v/%D8%B1%DB%8C%D9%88-%D9%85%D8%AF%D9%84-%DB%B8%DB%B6/ga6lRDyX?tracker_session_id=64c2de26-ef81-47b9-8b67-eb834830247a_ga6lRDyX_N,"790,000,000.0 تومان"
۲۲۰۰۰۰,۲۰۱۱,سفید,,1100000000,https://divar.ir/v/%D8%B1%DB%8C%D9%88-%D9%85%D8%AF%D9%84-%DB%B9%DB%B0/ga6VRIg6?tracker_session_id=64c2de26-ef81-47b9-8b67-eb834830247a_ga6VRIg6_N,
۱۳۷۰۰۰,۱۳۸۸ - ۲۰۰۹,سفید,3,1060000000,https://divar.ir/v/%D8%B1%DB%8C%D9%88-%D8%AA%DA%A9-%D8%A8%D8%B1%DA%AF-%D8%B3%D9%86%D8%AF-%D8%A2%D8%AE%D8%B1-%DB%B8%DB%B8/ga61gKmp?tracker_session_id=64c2de26-ef81-47b9-8b67-eb834830247a_ga61gKmp_N,"1,060,000,000.0 تومان"
۳۵۰۰۰۰,۱۳۸۴ - ۲۰۰۵,اطلسی,5,700000000,https://divar.ir/v/%D8%B1%DB%8C%D9%88-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C-%D8%AF%D8%B1%D8%AC%D9%87-1/ga4RKQOk?tracker_session_id=64c2de26-ef81-47b9-8b67-eb834830247a_ga4RKQOk_N,"700,000,000.0 تومان"
۱۲۵,۱۳۸۵ - ۲۰۰۶,نقره‌ای,10,1050000000,https://divar.ir/v/%D8%B1%DB%8C%D9%88-%DB%B8%DB%B5/ga4JZ1TE?tracker_session_id=64c2de26-ef81-47b9-8b67-eb834830247a_ga4JZ1TE_N,"1,050,000,000.0 تومان"
۱۲۷۰۰۰,۲۰۱۵,سفید,8,1600000000,https://divar.ir/v/%D8%AE%D9%88%D8%AF%D8%B1%D9%88-%D8%B1%DB%8C%D9%88-%D8%B3%D8%AF%D8%A7%D9%86-%D8%A7%D8%B1%D9%88%D9%86%D8%AF%DB%8C/ga4p1Qcj?tracker_session_id=64c2de26-ef81-47b9-8b67-eb834830247a_ga4p1Qcj_N,"1,600,000,000.0 تومان"
۲۷۰,۱۳۸۹ - ۲۰۱۰,سفید,6,650000000,https://divar.ir/v/%D8%B1%DB%8C%D9%88-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B8%DB%B9/gavxIM_q?tracker_session_id=64c2de26-ef81-47b9-8b67-eb834830247a_gavxIM_q_N,"650,000,000.0 تومان"
۳۴۴۰۰۰,۱۳۸۹ - ۲۰۱۰,سفید,12,950000000,https://divar.ir/v/%D8%B1%DB%8C%D9%88-%D9%85%D8%AF%D9%84-%DB%B8%DB%B9/ga2pOaqn?tracker_session_id=64c2de26-ef81-47b9-8b67-eb834830247a_ga2pOaqn_N,"950,000,000.0 تومان"
۱۶۶۰۰۰,۱۳۸۸ - ۲۰۰۹,نوک‌مدادی,7,815000000,https://divar.ir/v/%D8%B1%DB%8C%D9%88-%D9%85%D8%AF%D9%84-%DB%B8%DB%B8-%D8%AA%D9%85%DB%8C%D8%B2-%D9%88-%D8%B3%D9%84%D8%A7%D9%85%D8%AA/gaxFNfji?tracker_session_id=64c2de26-ef81-47b9-8b67-eb834830247a_gaxFNfji_N,"815,000,000.0 تومان"
۲۸۰۰۰۰,۱۳۸۸ - ۲۰۰۹,مشکی,3,900000000,https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%AE%D9%88%D8%AF%D8%B1%D9%88-%D8%B1%DB%8C%D9%88-%DA%A9%DB%8C%D8%A7/ga4dTvzb?tracker_session_id=64c2de26-ef81-47b9-8b67-eb834830247a_ga4dTvzb_N,"900,000,000.0 تومان"
۱۸۶۰۰۰,۲۰۱۴,طوسی,10,2100000000,https://divar.ir/v/%D8%B1%DB%8C%D9%88%DB%B2%DB%B0%DB%B1%DB%B4/ga4dzchF?tracker_session_id=64c2de26-ef81-47b9-8b67-eb834830247a_ga4dzchF_N,"2,100,000,000.0 تومان"
۲۱۹۰۰۰,۱۳۸۸ - ۲۰۰۹,سفید,12,950000000,https://divar.ir/v/%D8%B1%DB%8C%D9%88-%D9%85%D8%AF%D9%84-88%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%86%DA%AF-%D9%88%D8%B3%D9%85%D9%86%D8%AF92/ga4VzMAn?tracker_session_id=64c2de26-ef81-47b9-8b67-eb834830247a_ga4VzMAn_N,"950,000,000.0 تومان"
