car,mileage,price
ریو 90 - ABS - بی هزینه,"۲۹۰,۰۰۰ کیلومتر","۸۷۰,۰۰۰,۰۰۰ تومان"
ریو ۸۹,"۴۰۰,۰۰۰ کیلومتر","۵۲۸,۰۰۰,۰۰۰ تومان"
ریو ۲۰۱۵ فول آپشن,"۲۲۰,۰۰۰ کیلومتر","۱,۲۵۰,۰۰۰,۰۰۰ تومان"
ریو ۹۰,"۲۱۸,۰۰۰ کیلومتر","۷۹۰,۰۰۰,۰۰۰ تومان"
ریو,"۲۹۳,۰۰۰ کیلومتر","۸۲۰,۰۰۰,۰۰۰ تومان"
ریو مدل ۹۰  دو برگ سند,"۳۲۰,۰۰۰ کیلومتر","۷۵۰,۰۰۰,۰۰۰ تومان"
ریو مدل ۸۷,"۴۱۱,۰۰۰ کیلومتر","۷۸۰,۰۰۰,۰۰۰ تومان"
ریو مدل 90 abs نقدی و یا معاوضه با ماشین پایین تر,"۲۹۵,۰۰۰ کیلومتر","۹۵۰,۰۰۰,۰۰۰ تومان"
ریو سفید به بهی,"۱۸۰,۰۰۰ کیلومتر","۹۴۰,۰۰۰,۰۰۰ تومان"
ریو سایپا,"۲۸۰,۰۰۰ کیلومتر","۸۵۰,۰۰۰,۰۰۰ تومان"
ریو ۲۰۱۷ فول /قیمت منصفانه/کم کارکرد /تمیز,"۶۲,۰۰۰ کیلومتر","۲,۰۰۰,۰۰۰,۰۰۰ تومان"
کیا ریو ۲۰۱۳,"۲۳۰,۰۰۰ کیلومتر","۱۰,۰۰۰ تومان"
ریو ۸۵,"۲۰۰,۰۰۰ کیلومتر","۸۷۰,۰۰۰,۰۰۰ تومان"
ماشین سواری,"۴۵,۰۰۰ کیلومتر","۶۰۰,۰۰۰,۰۰۰ تومان"
ریو,"۱۲۰,۰۰۰ کیلومتر","۱۳,۰۰۰,۰۰۰ تومان"
ریو مدل ۸۷ فروش فوری,"۳۰۰,۰۰۰ کیلومتر","۷۲۵,۰۰۰,۰۰۰ تومان"
ریو مدل ۹۰,"۲۷۵,۰۰۰ کیلومتر","۹۹۵,۰۰۰,۰۰۰ تومان"
ریو تمیز ۸۹ بی رنگ,"۲۱۰,۰۰۰ کیلومتر","۹۸۰,۰۰۰,۰۰۰ تومان"
کیا ریو,"۳۳۰,۰۰۰ کیلومتر","۷۲۰,۰۰۰,۰۰۰ تومان"
کیا ریو اتوماتیک، فابریک کارخانه، مدل ۱۳۸۹,"۱۰۵,۰۰۰ کیلومتر","۱,۲۰۰,۰۰۰,۰۰۰ تومان"
ریو 87,"۳۶۰,۰۰۰ کیلومتر","۵۳۰,۰۰۰,۰۰۰ تومان"
ریو مدل ۹۰ معاوضه با ایکس ۲۲ دنده یا تارا دنده,"۲۳۰,۰۰۰ کیلومتر","۹۲۰,۰۰۰,۰۰۰ تومان"
ریو ۸۴,"۳۸۰,۰۰۰ کیلومتر","۴۲۰,۰۰۰,۰۰۰ تومان"
