mileage,date,insurance,color_2_cat
69000,2011,12.0,Light
126000,2011,12.0,Dark
390000,2007,3.0,Light
290000,2008,11.0,Light
200000,2015,8.0,Dark
280000,2008,9.0,Light
196000,2006,6.0,Dark
136000,2013,8.0,Dark
160000,2010,12.0,Light
400000,2006,5.0,Dark
266000,2009,9.0,Light
220000,2008,9.0,Dark
108000,2017,9.0,Dark
270000,2009,8.0,Light
90000,2017,8.0,Light
140000,2010,3.0,Light
340000,2011,12.0,Dark
170000,2015,3.0,Dark
288000,2011,7.0,Light
440000,2007,6.0,Light
97000,2010,6.0,Light
270000,2011,8.0,Light
176000,2010,12.0,Dark
230000,2008,2.0,Dark
145000,2010,4.0,Light
140000,2015,6.0,Light
350000,2008,12.0,Light
372000,2008,10.0,Light
375000,2010,8.0,Light
105000,2017,9.0,Dark
300000,2008,6.0,Light
520000,2008,6.0,Light
245000,2010,8.0,Dark
355000,2011,6.0,Light
140000,2016,6.0,Dark
100000,2010,4.0,Dark
270000,2007,12.0,Light
210000,2009,6.0,Light
200000,2015,6.0,Dark
266000,2009,10.0,Light
360000,2009,8.0,Dark
182000,2010,1.0,Dark
300000,2007,8.0,Dark
196000,2008,10.0,Light
400000,2006,8.0,Dark
150000,2012,5.0,Light
340000,2011,10.0,Light
164000,2009,8.0,Dark
149000,2016,11.0,Light
224000,2008,6.0,Light
298000,2010,8.0,Light
320000,2007,11.0,Light
400000,2006,8.0,Dark
178000,2006,3.0,Light
325000,2011,10.0,Light
400000,2010,12.0,Light
210000,2010,10.0,Light
130000,2015,8.0,Dark
450000,2008,1.0,Light
256000,2011,9.0,Dark
270000,2010,6.0,Light
130000,2014,6.0,Dark
120000,2015,8.0,Dark
150000,2017,8.0,Light
147000,2009,7.0,Dark
650000,2006,8.0,Dark
340000,2008,8.0,Dark
317175,2009,9.0,Dark
97000,2009,11.0,Light
367000,2005,7.0,Dark
160000,2011,3.0,Light
250000,2010,11.0,Light
