mileage,date,color,insurance,price
32000,2010,Light,12.0,810000000.0
256000,2011,Dark,9.0,6650000000.0
120000,2015,Dark,,5080000000.0
105000,2017,Dark,9.0,8650000000.0
170000,2014,Dark,,4890000000.0
90000,2017,Light,,3340000000.0
140000,2016,Dark,6.0,7580000000.0
97000,2010,Light,6.0,1200000000.0
245000,2010,Dark,8.0,3150000000.0
108000,2017,Dark,9.0,7820000000.0
400000,2007,Light,10.0,790000000.0
136000,2013,Dark,,1500000000.0
100000,2015,Light,,1220000000.0
372000,2008,Light,10.0,710000000.0
160000,2011,Light,3.0,1130000000.0
150000,2012,Light,5.0,1100000000.0
170000,2015,Light,3.0,2300000000.0
300000,2008,Light,6.0,890000000.0
48000,2011,Light,12.0,1470000000.0
230000,2008,Light,2.0,890000000.0
317175,2009,Light,9.0,790000000.0
130000,2014,Dark,6.0,2730000000.0
112000,2016,Light,7.0,2880000000.0
150000,2017,Light,8.0,1700000000.0
375000,2010,Light,,870000000.0
140000,2015,Light,6.0,1760000000.0
330000,2006,Light,12.0,680000000.0
176000,2010,Light,12.0,855000000.0
520000,2008,Light,6.0,745000000.0
450000,2008,Light,1.0,790000000.0
280000,2008,Light,9.0,690000000.0
266000,2009,Light,9.0,1175000000.0
400000,2006,Light,,850000000.0
196000,2006,Dark,6.0,735000000.0
440000,2007,Light,6.0,650000000.0
300000,2010,Light,9.0,900000000.0
270000,2007,Light,12.0,920000000.0
130000,2015,Light,8.0,3050000000.0
520000,2008,Light,6.0,705000000.0
400000,2006,Light,,850000000.0
